"NSFTV.ID","HDRA.ID","Na.K.Shoot.LSMEAN","Na.Shoot.LSMEAN","K.Shoot.Salt.LSMEAN","Na.K.Root.LSMEAN","Na.Root.LSMEAN","Shoot.BM.Control.LSMEAN","Shoot.BM.Salt.LSMEAN","Root.BM.Control.LSMEAN","Root.BM.Salt.LSMEAN","Flowering.time.at.Arkansas","Flowering.time.at.Faridpur","Flowering.time.at.Aberdeen","Panicle.number.per.plant","Plant.height","Panicle.fertility"
"NSFTV_71","61cc3858.0",87.01285531,0.078283899,0.88068335,658.7080179,0.423339424,1.887696141,1.597293938,0.582020231,0.318202355,100.75,79,106,3.80666249,99.16666667,0.694
"NSFTV_72","12d82364.0",130.1628553,0.102783899,0.919685372,534.5074266,0.457599334,2.275232982,1.830960604,0.744142925,0.415035688,108.1666667,73,133,3.557726184,90.66666667,0.892
"NSFTV_73","97dcf87d.0",227.6378553,0.187283899,0.83493335,549.557449,0.343966221,2.214399649,1.767138296,0.781309591,0.410535688,91.41666667,78,106,2.983153491,102.9166667,0.805
"NSFTV_74","55d3afae.0",170.0624777,0.119544766,0.74368335,517.0032288,0.340902872,2.500911204,1.780313568,0.918412305,0.473407152,99.33333333,78,85,3.58120144,104.0833333,0.896
"NSFTV_75","b0816082.0",232.1128553,0.192533899,0.84568335,465.3698345,0.265269484,2.424232982,1.611452877,0.819809591,0.422241501,87.66666667,NA,114,2.414289083,132.4166667,0.515
"NSFTV_76","cb5e38e6.0",153.2878553,0.126533899,0.938793515,506.1100631,0.386162495,2.244963638,1.688241133,0.824265168,0.426437398,110.1666667,NA,131,3.514029912,94.08333333,0.854
"NSFTV_77","45ec7861.0",144.5628553,0.113533899,0.80568335,514.1331291,0.325701753,2.478732982,1.759960604,0.877809591,0.436535688,125,NA,182,3.335176281,144.8,0.829
"NSFTV_78","66d97672.0",116.7378553,0.095033899,0.81443335,494.0212834,0.315995424,2.710112808,2.024293938,0.879809591,0.487869022,98.83333333,73,86,3.48635519,133.75,0.932
"NSFTV_79","c0936cf1.0",186.1378553,0.168283899,0.90843335,513.9759279,0.381523131,2.471399649,1.524293938,0.761809591,0.296202355,76.25,77,88,3.075774981,91.16666667,0.896
"NSFTV_8","30c3073f.0",203.7368364,0.177794726,0.871151121,563.4278185,0.27536252,1.856403773,1.315477884,0.410738728,0.338307102,101.5833333,74,122,2.621038824,147.4166667,0.781
"NSFTV_80","02d095ba.0",175.195811,0.140211432,0.827093936,580.0499237,0.399532615,2.259095101,1.590075618,0.711976258,0.371535688,110.5714286,72,136,3.983413002,106,0.372
"NSFTV_81","006dfe9b.0",129.0628887,0.139106599,1.092647976,527.639349,0.312894745,2.434369346,1.85827796,0.902368332,0.456963208,83.25,77,92,3.49144426,139.3333333,0.916
"NSFTV_83","becfe767.0",138.496222,0.128106599,0.920314642,416.1017502,0.312621279,2.268119346,1.469944627,0.612201665,0.274129875,79,67,79,3.280911216,106.6,0.827
"NSFTV_84","7bee5b9f.0",151.4300518,0.135034105,0.896714615,540.1627045,0.395270952,2.218148414,1.612079135,0.668701665,0.374463208,89.16666667,110,101,2.319114395,132.5833333,0.687
"NSFTV_85","328163e1.0",118.0131636,0.102955274,0.881598879,454.8376427,0.444206123,2.226064608,1.915324839,0.813281195,0.391599616,100.75,78,90,3.860729711,143.1666667,0.936
"NSFTV_87","64fa0112.0",241.596222,0.210773265,0.907314642,530.9031073,0.400047507,1.93345268,2.000944627,0.820034998,0.535463208,101.25,73,99,2.618438042,116.125,0.785
"NSFTV_89","897c5eef.0",338.1631636,0.261705274,0.778098879,523.7843712,0.348407088,2.017148414,1.499646787,0.740868332,0.367197983,90.91666667,78,114,2.442347035,114.6666667,0.859
"NSFTV_9","2a9d8d47.0",167.0118364,0.140544726,0.872401121,472.6390134,0.286454753,1.494973117,1.223505955,0.676911785,0.261307102,73,75,81,2.924504764,128.875,0.887
"NSFTV_90","743f41c1.0",122.8631636,0.113205274,0.921348879,595.9906999,0.394968611,2.691481747,2.154245801,0.824201665,0.426963208,82.58333333,67,81,3.826663156,127.1666667,0.888
"NSFTV_91","ff836253.0",195.2633852,0.176700772,0.932381282,518.3039977,0.388023558,1.919786013,1.298245801,0.52201491,0.226796541,NA,NA,NA,NA,NA,NA
"NSFTV_92","5df8f871.0",178.7881636,0.165455274,0.962098879,475.9694101,0.364919877,2.295246281,1.575079135,0.807628376,0.407963208,91.6,78,98,2.538973871,123.4444444,0.868
"NSFTV_93","9f1f4614.0",86.48816358,0.080205274,0.904098879,407.8226192,0.271056652,2.25581508,1.498912468,0.677034998,0.318296541,88.25,72,88,3.659278984,150.4444444,0.797
"NSFTV_94","20a4c97d.0",202.6631636,0.185205274,0.927598879,453.4509063,0.274129441,1.939727883,1.628567579,0.55124062,0.242137487,83.91666667,74,161,3.719651113,93.16666667,0.803
"NSFTV_95","0c85e164.0",163.1631636,0.141205274,0.871348879,541.369895,0.363236702,2.31831508,1.723002205,1.023034998,0.568255765,NA,NA,NA,NA,NA,NA
"NSFTV_96","32a6808e.0",178.6131636,0.168955274,0.958348879,535.0296676,0.382023419,1.754981747,1.5528676,0.669534998,0.35494193,104.3,84,165,2.610069793,101.6666667,0.795
"NSFTV_98","6ab77e3e.0",131.6381636,0.118705274,0.891598879,416.5056781,0.26940314,1.944648414,1.46787624,0.573034998,0.254601422,83.83333333,79,90,3.098589659,83.88888889,0.861
"NSFTV_99","7eb7c6a8.0",167.5295554,0.153106599,0.929314642,523.0195199,0.373880736,2.344698816,1.723383564,0.993407286,0.370796541,90.16666667,80,108,2.922265122,134.3333333,0.772
